Date,risk_prob
2025-01-01,0.003989692777395248
2025-01-02,0.003989960066974163
2025-01-03,0.003990198951214552
2025-01-04,0.0039902725256979465
2025-01-05,0.003990320488810539
2025-01-06,0.003990344237536192
2025-01-07,0.0039903633296489716
2025-01-08,0.003990373108536005
2025-01-09,0.0039903768338263035
2025-01-10,0.003990374971181154
2025-01-11,0.003990365192294121
2025-01-12,0.003990355879068375
2025-01-13,0.003990342374891043
2025-01-14,0.003990326076745987
2025-01-15,0.00399030139669776
2025-01-16,0.00399026507511735
2025-01-17,0.003990223165601492
2025-01-18,0.003990164492279291
2025-01-19,0.003990098834037781
2025-01-20,0.003990005236119032
2025-01-21,0.003989895340055227
2025-01-22,0.003989758901298046
2025-01-23,0.003989598248153925
2025-01-24,0.003989408724009991
2025-01-25,0.003989181015640497
2025-01-26,0.0039889197796583176
2025-01-27,0.0039886184968054295
2025-01-28,0.0039882720448076725
2025-01-29,0.003987877629697323
2025-01-30,0.003987877629697323
2025-01-31,0.003987879492342472
2025-02-01,0.003987877629697323
2025-02-02,0.003987877629697323
2025-02-03,0.003987877629697323
2025-02-04,0.003987879492342472
2025-02-05,0.003987875767052174
2025-02-06,0.003987879492342472
2025-02-07,0.003987877629697323
2025-02-08,0.003987875767052174
2025-02-09,0.003987875767052174
2025-02-10,0.003987873904407024
2025-02-11,0.003987877629697323
2025-02-12,0.003987877629697323
2025-02-13,0.003987875767052174
2025-02-14,0.003987875767052174
2025-02-15,0.003987875767052174
2025-02-16,0.003987879492342472
2025-02-17,0.003987879492342472
2025-02-18,0.003987881354987621
2025-02-19,0.003987881354987621
2025-02-20,0.003987879492342472
2025-02-21,0.003987881354987621
2025-02-22,0.003987877629697323
2025-02-23,0.003987877629697323
2025-02-24,0.003987879492342472
2025-02-25,0.003987877629697323
2025-02-26,0.003987877629697323
2025-02-27,0.003987877629697323
2025-02-28,0.003987875767052174
2025-03-01,0.003987877629697323
